# SA for random K-SAT
# K = 3   N = 2048   M = 8320   seed = 1058776851
# alpha = 4.062500   nIter = 512  Tmax = 0.200000
# 1:lowestUnsat  2:runTime
7 512
11 512
6 512
4 512
9 512
4 512
3 512
4 512
5 512
4 512
7 512
4 512
6 512
2 512
7 512
7 512
13 512
9 512
5 512
8 512
7 512
3 512
6 512
5 512
3 512
8 512
3 512
4 512
6 512
5 512
4 512
4 512
9 512
4 512
9 512
4 512
8 512
9 512
4 512
3 512
6 512
7 512
7 512
3 512
7 512
6 512
6 512
6 512
6 512
8 512
3 512
7 512
3 512
5 512
11 512
9 512
3 512
2 512
7 512
5 512
6 512
1 512
6 512
5 512
4 512
9 512
5 512
6 512
4 512
2 512
5 512
4 512
6 512
3 512
5 512
7 512
7 512
7 512
4 512
6 512
0 230
8 512
3 512
5 512
2 512
2 512
6 512
5 512
3 512
7 512
5 512
5 512
6 512
7 512
4 512
5 512
7 512
5 512
5 512
4 512
4 512
6 512
4 512
5 512
5 512
3 512
3 512
6 512
7 512
5 512
4 512
1 512
3 512
10 512
8 512
1 512
4 512
3 512
4 512
2 512
6 512
3 512
2 512
8 512
7 512
7 512
6 512
5 512
9 512
9 512
5 512
3 512
2 512
8 512
5 512
4 512
10 512
7 512
6 512
10 512
9 512
8 512
6 512
12 512
8 512
4 512
7 512
6 512
6 512
4 512
6 512
5 512
2 512
6 512
7 512
4 512
2 512
4 512
7 512
2 512
3 512
3 512
6 512
9 512
8 512
5 512
6 512
9 512
4 512
7 512
9 512
10 512
9 512
5 512
10 512
5 512
6 512
6 512
3 512
7 512
2 512
3 512
3 512
8 512
7 512
8 512
5 512
7 512
5 512
7 512
6 512
7 512
8 512
9 512
6 512
2 512
6 512
3 512
5 512
1 512
7 512
6 512
6 512
4 512
3 512
7 512
8 512
7 512
5 512
3 512
10 512
4 512
2 512
6 512
8 512
5 512
9 512
2 512
5 512
6 512
3 512
8 512
7 512
4 512
7 512
3 512
5 512
7 512
7 512
10 512
7 512
8 512
3 512
5 512
3 512
6 512
4 512
4 512
6 512
3 512
3 512
5 512
6 512
7 512
3 512
6 512
7 512
1 512
5 512
9 512
5 512
10 512
6 512
2 512
3 512
4 512
5 512
8 512
3 512
5 512
8 512
5 512
10 512
2 512
5 512
6 512
10 512
6 512
4 512
7 512
10 512
2 512
3 512
7 512
4 512
4 512
9 512
7 512
6 512
4 512
5 512
3 512
6 512
5 512
6 512
3 512
2 512
11 512
9 512
7 512
7 512
7 512
1 512
5 512
6 512
6 512
6 512
9 512
3 512
4 512
1 512
5 512
5 512
4 512
5 512
2 512
4 512
3 512
5 512
6 512
3 512
3 512
7 512
2 512
7 512
10 512
3 512
10 512
8 512
8 512
7 512
7 512
7 512
8 512
15 512
3 512
7 512
6 512
9 512
6 512
2 512
8 512
8 512
7 512
6 512
6 512
2 512
8 512
6 512
8 512
2 512
4 512
7 512
5 512
6 512
6 512
3 512
6 512
8 512
5 512
9 512
8 512
3 512
6 512
5 512
3 512
9 512
5 512
2 512
4 512
8 512
5 512
3 512
6 512
5 512
4 512
3 512
10 512
2 512
5 512
3 512
6 512
5 512
8 512
7 512
6 512
7 512
4 512
7 512
5 512
5 512
5 512
5 512
3 512
4 512
3 512
10 512
2 512
9 512
6 512
5 512
11 512
3 512
10 512
5 512
7 512
3 512
3 512
7 512
4 512
5 512
6 512
5 512
7 512
7 512
7 512
6 512
5 512
3 512
5 512
7 512
7 512
4 512
14 512
10 512
6 512
7 512
4 512
7 512
7 512
8 512
2 512
6 512
7 512
2 512
7 512
3 512
8 512
8 512
10 512
4 512
5 512
3 512
6 512
4 512
8 512
8 512
5 512
6 512
5 512
7 512
8 512
