# SA for random K-SAT
# K = 4   N = 128   M = 1152   seed = 1746139839
# alpha = 9.000000   nIter = 64  Tmax = 0.200000
# 1:lowestUnsat  2:runTime
3 64
3 64
2 64
9 64
2 64
2 64
2 64
1 64
2 64
1 64
3 64
3 64
1 64
3 64
2 64
3 64
2 64
2 64
2 64
0 29
2 64
1 64
0 9
4 64
3 64
2 64
2 64
3 64
1 64
5 64
1 64
2 64
5 64
4 64
4 64
1 64
3 64
4 64
2 64
1 64
3 64
2 64
1 64
3 64
2 64
1 64
3 64
5 64
2 64
5 64
2 64
3 64
1 64
4 64
1 64
1 64
5 64
2 64
1 64
1 64
2 64
1 64
0 6
2 64
4 64
3 64
2 64
2 64
2 64
2 64
0 21
2 64
3 64
5 64
2 64
3 64
4 64
2 64
2 64
1 64
2 64
2 64
3 64
7 64
0 9
3 64
1 64
1 64
3 64
3 64
2 64
1 64
0 35
1 64
0 19
2 64
1 64
3 64
4 64
0 11
2 64
1 64
3 64
4 64
5 64
4 64
2 64
0 25
3 64
1 64
2 64
3 64
1 64
5 64
3 64
0 36
2 64
2 64
3 64
2 64
1 64
2 64
1 64
3 64
3 64
4 64
4 64
1 64
4 64
3 64
3 64
1 64
5 64
2 64
1 64
5 64
1 64
1 64
1 64
2 64
2 64
1 64
5 64
0 35
4 64
5 64
3 64
4 64
3 64
0 53
2 64
1 64
1 64
3 64
2 64
4 64
1 64
0 15
2 64
2 64
1 64
2 64
3 64
4 64
3 64
2 64
1 64
3 64
3 64
5 64
1 64
2 64
3 64
2 64
3 64
1 64
2 64
1 64
2 64
4 64
3 64
2 64
2 64
4 64
1 64
1 64
5 64
5 64
0 44
2 64
2 64
1 64
5 64
1 64
2 64
2 64
1 64
2 64
2 64
1 64
3 64
4 64
1 64
3 64
1 64
3 64
1 64
2 64
2 64
3 64
3 64
6 64
3 64
1 64
1 64
3 64
2 64
3 64
3 64
0 16
4 64
0 37
4 64
3 64
1 64
1 64
4 64
1 64
1 64
1 64
0 62
5 64
3 64
3 64
3 64
1 64
1 64
1 64
2 64
1 64
0 22
1 64
2 64
2 64
0 20
0 23
4 64
4 64
2 64
3 64
1 64
3 64
3 64
3 64
3 64
1 64
3 64
6 64
0 18
2 64
3 64
3 64
2 64
0 63
3 64
5 64
0 14
1 64
1 64
2 64
1 64
2 64
1 64
4 64
3 64
1 64
2 64
1 64
4 64
2 64
2 64
3 64
1 64
2 64
2 64
2 64
2 64
1 64
1 64
5 64
1 64
5 64
2 64
5 64
2 64
3 64
2 64
0 16
2 64
2 64
1 64
3 64
3 64
0 58
1 64
5 64
5 64
3 64
2 64
2 64
5 64
5 64
0 9
2 64
3 64
3 64
4 64
1 64
1 64
5 64
2 64
3 64
3 64
3 64
4 64
4 64
2 64
4 64
0 20
1 64
4 64
2 64
1 64
4 64
3 64
1 64
5 64
2 64
1 64
1 64
6 64
5 64
1 64
1 64
4 64
1 64
1 64
3 64
0 26
3 64
2 64
1 64
3 64
9 64
3 64
2 64
2 64
3 64
2 64
6 64
0 40
3 64
0 12
3 64
3 64
1 64
1 64
6 64
2 64
5 64
0 44
4 64
3 64
3 64
0 13
2 64
0 17
4 64
1 64
3 64
4 64
3 64
2 64
1 64
2 64
4 64
2 64
2 64
3 64
3 64
2 64
2 64
5 64
3 64
2 64
2 64
4 64
1 64
3 64
2 64
2 64
4 64
2 64
3 64
2 64
1 64
2 64
2 64
2 64
3 64
1 64
2 64
2 64
0 21
2 64
2 64
0 14
2 64
3 64
1 64
4 64
3 64
1 64
0 25
1 64
1 64
1 64
0 25
1 64
1 64
1 64
1 64
3 64
3 64
0 24
3 64
0 8
3 64
2 64
0 9
1 64
2 64
2 64
6 64
2 64
4 64
1 64
1 64
2 64
2 64
3 64
3 64
2 64
2 64
4 64
4 64
1 64
0 13
2 64
6 64
2 64
3 64
1 64
5 64
4 64
5 64
5 64
5 64
3 64
4 64
3 64
1 64
1 64
1 64
1 64
4 64
2 64
2 64
2 64
4 64
1 64
2 64
0 24
0 52
2 64
3 64
3 64
3 64
5 64
1 64
2 64
2 64
4 64
1 64
1 64
3 64
0 40
3 64
0 18
1 64
2 64
0 25
2 64
3 64
4 64
2 64
4 64
3 64
8 64
3 64
2 64
1 64
1 64
1 64
2 64
6 64
1 64
3 64
2 64
3 64
2 64
4 64
2 64
2 64
3 64
2 64
3 64
2 64
0 34
4 64
2 64
2 64
1 64
2 64
4 64
3 64
2 64
3 64
1 64
1 64
1 64
4 64
2 64
5 64
4 64
4 64
3 64
4 64
1 64
2 64
2 64
3 64
2 64
3 64
2 64
1 64
3 64
