# SA for random K-SAT
# K = 3   N = 256   M = 1032   seed = 4266678669
# alpha = 4.031250   nIter = 1024  Tmax = 0.200000
# 1:lowestUnsat  2:runTime
1 1024
2 1024
0 122
0 152
2 1024
1 1024
1 1024
1 1024
0 561
3 1024
0 694
1 1024
1 1024
2 1024
0 261
0 200
1 1024
2 1024
1 1024
1 1024
1 1024
0 58
0 53
1 1024
1 1024
2 1024
0 144
2 1024
3 1024
0 109
1 1024
0 261
1 1024
1 1024
0 155
1 1024
0 265
1 1024
1 1024
1 1024
3 1024
0 24
1 1024
1 1024
1 1024
0 74
2 1024
0 400
0 202
0 22
1 1024
0 658
0 86
0 120
1 1024
0 574
1 1024
0 88
0 32
1 1024
0 16
2 1024
0 214
2 1024
0 52
2 1024
1 1024
0 38
1 1024
1 1024
1 1024
1 1024
1 1024
0 17
0 213
2 1024
0 371
0 97
1 1024
2 1024
0 453
2 1024
2 1024
0 223
1 1024
0 236
0 67
0 83
0 43
0 23
0 163
1 1024
1 1024
1 1024
1 1024
2 1024
2 1024
1 1024
0 759
2 1024
0 104
0 34
0 86
0 18
1 1024
1 1024
0 86
0 21
0 69
0 153
2 1024
0 125
1 1024
0 916
1 1024
0 152
2 1024
1 1024
1 1024
0 718
2 1024
2 1024
1 1024
0 125
0 711
3 1024
0 29
1 1024
0 241
2 1024
1 1024
1 1024
0 1021
0 33
1 1024
1 1024
1 1024
1 1024
0 870
0 328
0 17
0 154
0 60
0 231
0 497
2 1024
0 47
1 1024
2 1024
1 1024
2 1024
1 1024
1 1024
1 1024
1 1024
1 1024
0 505
0 136
0 119
0 41
0 371
1 1024
0 49
2 1024
2 1024
0 38
1 1024
0 72
1 1024
1 1024
0 111
1 1024
0 30
0 570
0 510
1 1024
0 9
0 773
3 1024
1 1024
1 1024
0 25
1 1024
0 34
0 163
2 1024
1 1024
2 1024
0 89
0 914
2 1024
0 49
1 1024
2 1024
0 362
0 54
0 243
0 77
1 1024
1 1024
0 236
0 437
0 525
0 117
2 1024
1 1024
1 1024
0 164
0 493
1 1024
1 1024
1 1024
2 1024
1 1024
1 1024
3 1024
2 1024
0 45
2 1024
0 49
0 58
1 1024
0 37
1 1024
2 1024
0 174
2 1024
1 1024
2 1024
1 1024
0 123
1 1024
2 1024
1 1024
0 56
1 1024
0 12
1 1024
0 155
3 1024
0 116
2 1024
0 44
1 1024
2 1024
1 1024
0 237
0 274
2 1024
1 1024
1 1024
0 63
1 1024
2 1024
0 40
0 209
2 1024
0 91
1 1024
