# SA for random K-SAT
# K = 4   N = 256   M = 2304   seed = 987657022
# alpha = 9.000000   nIter = 512  Tmax = 0.200000
# 1:lowestUnsat  2:runTime
0 163
0 131
1 512
2 512
4 512
3 512
2 512
4 512
4 512
2 512
3 512
2 512
2 512
2 512
4 512
0 175
1 512
1 512
2 512
4 512
2 512
1 512
1 512
1 512
3 512
0 89
4 512
3 512
2 512
1 512
1 512
0 107
4 512
2 512
4 512
2 512
5 512
1 512
2 512
3 512
4 512
2 512
3 512
2 512
1 512
2 512
2 512
4 512
4 512
2 512
1 512
1 512
2 512
1 512
2 512
2 512
1 512
3 512
3 512
2 512
0 232
2 512
1 512
2 512
0 347
2 512
2 512
2 512
0 170
2 512
2 512
3 512
2 512
1 512
1 512
1 512
1 512
0 108
2 512
3 512
3 512
1 512
2 512
3 512
4 512
1 512
1 512
0 217
0 203
2 512
6 512
4 512
2 512
0 186
0 282
3 512
3 512
1 512
3 512
2 512
0 180
2 512
2 512
2 512
4 512
1 512
0 66
6 512
0 87
0 99
1 512
0 116
2 512
3 512
1 512
3 512
1 512
1 512
2 512
1 512
4 512
0 285
2 512
2 512
1 512
2 512
3 512
3 512
2 512
1 512
2 512
0 171
4 512
3 512
4 512
1 512
2 512
3 512
4 512
1 512
2 512
2 512
4 512
0 301
1 512
1 512
3 512
4 512
4 512
2 512
4 512
2 512
4 512
3 512
2 512
3 512
1 512
2 512
3 512
3 512
2 512
1 512
1 512
0 51
2 512
2 512
0 447
1 512
0 256
3 512
1 512
1 512
1 512
3 512
3 512
3 512
1 512
0 194
2 512
3 512
2 512
2 512
5 512
3 512
2 512
1 512
1 512
1 512
2 512
2 512
2 512
1 512
5 512
1 512
4 512
3 512
2 512
2 512
0 44
1 512
1 512
4 512
0 143
5 512
0 236
4 512
1 512
0 478
3 512
2 512
1 512
2 512
3 512
2 512
4 512
1 512
2 512
0 92
2 512
2 512
1 512
1 512
0 92
2 512
4 512
2 512
5 512
0 220
3 512
2 512
1 512
5 512
2 512
1 512
0 25
4 512
0 71
3 512
3 512
0 83
0 99
3 512
2 512
0 148
3 512
2 512
2 512
4 512
4 512
3 512
1 512
3 512
3 512
1 512
2 512
2 512
0 279
5 512
0 126
1 512
2 512
2 512
4 512
2 512
5 512
2 512
2 512
2 512
4 512
1 512
1 512
2 512
1 512
0 412
1 512
4 512
4 512
3 512
3 512
3 512
4 512
1 512
3 512
1 512
2 512
4 512
3 512
4 512
0 61
6 512
0 351
1 512
1 512
0 91
2 512
3 512
5 512
2 512
2 512
1 512
2 512
2 512
2 512
0 101
2 512
3 512
4 512
5 512
1 512
0 235
1 512
2 512
6 512
5 512
1 512
1 512
2 512
6 512
1 512
5 512
0 74
0 57
0 26
4 512
4 512
0 39
0 127
2 512
2 512
2 512
2 512
2 512
3 512
0 116
1 512
1 512
3 512
4 512
2 512
1 512
1 512
2 512
1 512
8 512
3 512
1 512
1 512
0 248
1 512
1 512
4 512
2 512
5 512
1 512
1 512
2 512
5 512
0 81
2 512
3 512
0 74
1 512
2 512
5 512
1 512
4 512
2 512
2 512
2 512
0 160
1 512
0 64
3 512
0 453
4 512
1 512
4 512
2 512
2 512
1 512
4 512
2 512
1 512
1 512
1 512
1 512
3 512
0 130
3 512
2 512
4 512
2 512
3 512
2 512
1 512
3 512
0 149
8 512
2 512
0 108
0 340
4 512
1 512
0 74
1 512
2 512
1 512
3 512
2 512
2 512
3 512
1 512
3 512
1 512
3 512
3 512
3 512
3 512
2 512
1 512
3 512
2 512
1 512
1 512
2 512
1 512
3 512
2 512
4 512
2 512
1 512
1 512
2 512
0 161
1 512
3 512
2 512
5 512
2 512
0 369
1 512
1 512
0 85
1 512
2 512
1 512
4 512
1 512
3 512
0 55
6 512
3 512
1 512
2 512
3 512
2 512
5 512
1 512
4 512
1 512
2 512
3 512
2 512
2 512
2 512
3 512
4 512
3 512
3 512
3 512
3 512
1 512
5 512
2 512
2 512
1 512
2 512
2 512
1 512
2 512
1 512
2 512
3 512
2 512
5 512
1 512
3 512
0 205
1 512
3 512
1 512
1 512
1 512
3 512
1 512
1 512
3 512
1 512
2 512
1 512
1 512
1 512
1 512
1 512
3 512
0 362
2 512
0 46
1 512
2 512
2 512
2 512
0 309
2 512
2 512
3 512
6 512
4 512
3 512
2 512
1 512
0 162
1 512
2 512
1 512
1 512
1 512
1 512
1 512
3 512
1 512
1 512
0 176
2 512
5 512
1 512
2 512
4 512
3 512
4 512
4 512
2 512
0 88
1 512
2 512
2 512
2 512
4 512
2 512
2 512
3 512
4 512
1 512
1 512
1 512
4 512
5 512
2 512
1 512
1 512
2 512
2 512
2 512
2 512
3 512
3 512
1 512
4 512
3 512
3 512
6 512
1 512
1 512
1 512
4 512
2 512
1 512
4 512
5 512
4 512
4 512
1 512
1 512
0 59
2 512
2 512
1 512
2 512
1 512
4 512
3 512
1 512
3 512
2 512
1 512
4 512
2 512
0 116
5 512
0 136
3 512
2 512
0 141
1 512
1 512
1 512
2 512
0 272
3 512
7 512
2 512
2 512
1 512
2 512
4 512
3 512
2 512
2 512
4 512
3 512
1 512
1 512
1 512
2 512
7 512
2 512
2 512
1 512
1 512
3 512
3 512
0 173
1 512
3 512
0 31
1 512
2 512
1 512
0 169
3 512
1 512
2 512
1 512
3 512
1 512
1 512
1 512
2 512
1 512
1 512
1 512
4 512
3 512
1 512
0 21
1 512
3 512
3 512
3 512
4 512
2 512
2 512
3 512
2 512
1 512
2 512
3 512
3 512
1 512
0 266
5 512
2 512
