# SA for random K-SAT
# K = 3   N = 256   M = 992   seed = 490188531
# alpha = 3.875000   nIter = 512  Tmax = 0.200000
# 1:lowestUnsat  2:runTime
1 512
0 121
0 97
0 9
0 457
0 15
1 512
1 512
0 172
0 111
0 29
3 512
0 139
0 432
0 65
0 11
0 23
0 186
1 512
1 512
1 512
0 33
0 156
0 66
1 512
0 52
0 273
0 444
0 233
0 108
1 512
0 416
1 512
0 31
0 211
0 76
0 232
1 512
0 29
1 512
1 512
0 104
0 61
0 68
2 512
0 89
0 89
0 346
2 512
1 512
0 152
0 20
0 158
0 96
0 102
1 512
0 106
0 29
0 77
0 15
0 84
0 74
1 512
1 512
0 183
1 512
0 44
2 512
0 86
0 28
0 16
2 512
0 28
1 512
1 512
0 17
0 232
2 512
1 512
0 67
0 59
1 512
1 512
0 101
0 451
0 105
3 512
0 80
0 47
1 512
0 54
0 108
1 512
0 120
1 512
0 25
1 512
0 31
1 512
0 104
0 428
0 212
0 78
0 71
1 512
0 299
1 512
0 97
0 64
0 25
0 21
0 436
0 28
0 27
0 95
0 49
0 99
1 512
0 230
2 512
1 512
0 128
0 479
1 512
1 512
0 51
0 389
1 512
0 34
0 31
0 236
0 12
1 512
1 512
1 512
1 512
0 225
0 80
1 512
0 46
0 27
1 512
0 333
0 26
0 158
0 203
0 338
0 47
0 150
1 512
0 148
1 512
0 58
0 434
0 27
1 512
1 512
0 209
0 88
0 217
0 69
0 51
0 64
0 74
2 512
0 51
0 191
0 12
0 174
1 512
0 81
0 22
1 512
1 512
0 117
1 512
0 15
0 8
1 512
0 56
0 18
0 66
0 107
0 70
0 148
0 115
0 27
1 512
1 512
0 137
0 131
1 512
1 512
0 60
0 374
0 36
0 52
0 109
0 391
1 512
1 512
1 512
0 154
0 13
0 148
0 74
1 512
0 330
0 109
1 512
0 95
0 33
1 512
1 512
2 512
0 28
1 512
0 425
0 44
0 10
0 165
0 419
0 61
1 512
0 197
0 37
1 512
1 512
0 37
0 151
0 222
0 34
1 512
0 79
1 512
2 512
0 41
0 52
0 277
0 33
1 512
0 187
0 45
0 58
0 274
1 512
0 10
0 46
0 40
0 53
3 512
1 512
0 202
0 119
0 29
0 20
1 512
0 93
1 512
0 287
0 43
0 83
0 197
1 512
1 512
0 10
0 98
0 59
1 512
0 148
1 512
0 112
0 172
1 512
0 36
0 280
0 69
0 65
1 512
0 33
0 37
0 91
0 107
0 262
0 128
0 106
0 66
0 228
0 100
0 168
0 214
0 256
0 195
0 82
0 99
1 512
0 319
0 78
0 47
1 512
0 43
0 367
0 42
0 155
1 512
1 512
0 154
0 73
0 108
1 512
0 59
0 98
0 202
0 38
0 316
0 38
0 62
0 156
0 38
0 143
0 68
0 88
0 188
0 161
0 379
0 42
0 22
0 48
2 512
0 429
1 512
0 244
0 29
0 187
1 512
0 29
0 19
0 118
2 512
1 512
0 49
1 512
1 512
1 512
0 80
0 77
0 73
0 26
0 75
0 112
0 33
0 14
1 512
0 42
2 512
0 25
0 171
1 512
0 152
0 134
0 42
1 512
0 83
0 181
0 33
0 53
0 232
1 512
1 512
0 253
0 368
0 53
0 273
2 512
0 39
0 310
0 103
0 23
1 512
0 34
0 34
0 127
0 252
0 441
1 512
0 42
0 63
2 512
1 512
1 512
0 95
0 186
0 9
0 31
0 169
0 163
2 512
0 234
0 36
1 512
0 352
0 33
0 30
0 59
1 512
0 49
1 512
1 512
1 512
0 64
0 186
0 40
0 101
0 88
0 124
0 315
0 113
0 25
1 512
0 31
0 63
0 447
1 512
0 14
0 287
1 512
0 28
1 512
1 512
0 230
2 512
0 134
0 39
0 142
1 512
0 61
0 69
0 64
0 45
0 68
0 137
1 512
0 28
0 41
1 512
0 109
0 68
