# SA for random K-SAT
# K = 4   N = 8192   M = 71680   seed = 977116735
# alpha = 8.750000   nIter = 2048  Tmax = 0.200000
# 1:lowestUnsat  2:runTime
3 2048
0 1600
3 2048
2 2048
3 2048
3 2048
1 2048
3 2048
1 2048
4 2048
2 2048
3 2048
0 1329
2 2048
1 2048
0 1516
3 2048
4 2048
2 2048
2 2048
5 2048
1 2048
0 1086
5 2048
2 2048
0 1133
1 2048
2 2048
1 2048
3 2048
0 1481
3 2048
1 2048
4 2048
0 1587
1 2048
5 2048
3 2048
3 2048
6 2048
3 2048
3 2048
0 1020
1 2048
7 2048
4 2048
7 2048
4 2048
0 1327
1 2048
1 2048
1 2048
4 2048
0 1345
1 2048
2 2048
1 2048
4 2048
1 2048
4 2048
4 2048
4 2048
2 2048
5 2048
1 2048
6 2048
1 2048
0 1184
1 2048
1 2048
2 2048
4 2048
5 2048
0 1401
3 2048
3 2048
0 1867
2 2048
1 2048
1 2048
0 1609
2 2048
7 2048
7 2048
4 2048
4 2048
2 2048
4 2048
1 2048
2 2048
1 2048
2 2048
1 2048
2 2048
3 2048
0 1920
0 1261
3 2048
5 2048
1 2048
4 2048
2 2048
1 2048
4 2048
12 2048
5 2048
0 1554
4 2048
0 1172
1 2048
0 979
2 2048
1 2048
2 2048
3 2048
0 1687
1 2048
3 2048
6 2048
1 2048
9 2048
0 1421
1 2048
2 2048
0 1415
2 2048
6 2048
3 2048
6 2048
1 2048
2 2048
4 2048
2 2048
4 2048
7 2048
0 1077
2 2048
0 1121
5 2048
3 2048
2 2048
1 2048
4 2048
7 2048
2 2048
1 2048
1 2048
0 1673
2 2048
0 1239
1 2048
1 2048
1 2048
2 2048
3 2048
2 2048
2 2048
1 2048
3 2048
1 2048
3 2048
4 2048
1 2048
4 2048
1 2048
1 2048
3 2048
0 1445
0 1416
4 2048
1 2048
3 2048
0 1270
0 1857
1 2048
0 1752
3 2048
1 2048
3 2048
1 2048
1 2048
1 2048
6 2048
0 1236
1 2048
7 2048
1 2048
2 2048
1 2048
8 2048
7 2048
5 2048
5 2048
1 2048
1 2048
0 1239
2 2048
3 2048
5 2048
0 1738
1 2048
1 2048
7 2048
3 2048
1 2048
1 2048
1 2048
0 1033
0 1037
2 2048
2 2048
1 2048
3 2048
0 1529
4 2048
0 1272
3 2048
0 1865
0 1314
2 2048
2 2048
2 2048
8 2048
1 2048
1 2048
0 1612
1 2048
5 2048
2 2048
2 2048
1 2048
1 2048
0 1663
5 2048
1 2048
2 2048
1 2048
0 1982
3 2048
4 2048
1 2048
2 2048
0 1763
1 2048
4 2048
3 2048
0 1650
1 2048
2 2048
2 2048
0 1860
1 2048
1 2048
5 2048
3 2048
5 2048
1 2048
2 2048
0 1789
1 2048
2 2048
0 1340
2 2048
2 2048
1 2048
0 1368
1 2048
4 2048
3 2048
4 2048
5 2048
4 2048
3 2048
4 2048
0 1287
3 2048
0 1909
1 2048
1 2048
2 2048
5 2048
1 2048
5 2048
3 2048
5 2048
3 2048
5 2048
3 2048
2 2048
4 2048
0 1408
0 1337
2 2048
3 2048
0 1704
2 2048
5 2048
0 1652
1 2048
2 2048
3 2048
3 2048
1 2048
2 2048
4 2048
3 2048
0 1866
2 2048
3 2048
3 2048
3 2048
5 2048
2 2048
3 2048
2 2048
2 2048
2 2048
1 2048
2 2048
0 1711
5 2048
8 2048
2 2048
7 2048
0 1848
5 2048
6 2048
0 1263
2 2048
1 2048
3 2048
1 2048
5 2048
1 2048
6 2048
1 2048
3 2048
0 1874
2 2048
1 2048
0 1340
5 2048
2 2048
1 2048
0 1439
3 2048
0 1931
2 2048
1 2048
1 2048
3 2048
3 2048
2 2048
1 2048
3 2048
3 2048
6 2048
2 2048
1 2048
5 2048
2 2048
2 2048
4 2048
1 2048
3 2048
2 2048
2 2048
9 2048
0 1559
0 1779
1 2048
2 2048
4 2048
2 2048
3 2048
1 2048
2 2048
2 2048
2 2048
1 2048
0 1739
1 2048
0 1809
1 2048
2 2048
1 2048
0 1799
6 2048
3 2048
1 2048
2 2048
2 2048
2 2048
8 2048
1 2048
0 1485
3 2048
2 2048
4 2048
2 2048
2 2048
0 1747
5 2048
0 1688
7 2048
5 2048
0 821
1 2048
1 2048
0 1643
2 2048
0 927
3 2048
3 2048
3 2048
4 2048
0 1560
6 2048
1 2048
0 1041
0 1394
3 2048
3 2048
1 2048
2 2048
1 2048
3 2048
0 2048
2 2048
0 1426
0 1280
4 2048
3 2048
3 2048
3 2048
10 2048
0 1932
1 2048
1 2048
4 2048
3 2048
2 2048
0 1874
4 2048
1 2048
0 1346
0 1040
3 2048
2 2048
0 1766
0 1396
1 2048
2 2048
3 2048
3 2048
2 2048
3 2048
1 2048
0 1389
7 2048
2 2048
2 2048
1 2048
1 2048
3 2048
4 2048
3 2048
2 2048
2 2048
1 2048
4 2048
3 2048
3 2048
3 2048
4 2048
4 2048
0 1110
4 2048
1 2048
2 2048
3 2048
5 2048
0 1672
0 1613
6 2048
0 1644
2 2048
4 2048
2 2048
0 1537
1 2048
1 2048
0 920
1 2048
2 2048
4 2048
2 2048
2 2048
2 2048
1 2048
3 2048
1 2048
4 2048
2 2048
1 2048
4 2048
1 2048
1 2048
0 1579
1 2048
0 1688
1 2048
0 1505
3 2048
3 2048
0 1360
3 2048
1 2048
0 1265
3 2048
2 2048
5 2048
3 2048
5 2048
1 2048
2 2048
4 2048
1 2048
0 859
3 2048
2 2048
0 1579
0 1263
0 1429
5 2048
1 2048
3 2048
1 2048
2 2048
1 2048
5 2048
1 2048
9 2048
2 2048
1 2048
0 1484
0 1788
2 2048
0 1437
1 2048
2 2048
3 2048
1 2048
1 2048
0 1313
2 2048
2 2048
1 2048
2 2048
3 2048
2 2048
3 2048
5 2048
7 2048
3 2048
2 2048
2 2048
0 1468
0 1382
2 2048
0 1083
1 2048
2 2048
1 2048
3 2048
1 2048
2 2048
1 2048
1 2048
1 2048
4 2048
1 2048
2 2048
2 2048
5 2048
1 2048
5 2048
0 1378
2 2048
1 2048
4 2048
2 2048
3 2048
3 2048
1 2048
5 2048
1 2048
0 816
4 2048
3 2048
1 2048
2 2048
3 2048
4 2048
0 1714
3 2048
3 2048
1 2048
0 1977
2 2048
3 2048
1 2048
0 1576
3 2048
4 2048
1 2048
4 2048
1 2048
4 2048
2 2048
0 1927
0 1200
3 2048
0 1240
1 2048
2 2048
0 1565
3 2048
4 2048
5 2048
1 2048
1 2048
2 2048
1 2048
4 2048
1 2048
0 1692
0 2013
3 2048
