# SA for random K-SAT
# K = 4   N = 32768   M = 327680   seed = 3314865923
# alpha = 10.000000   nIter = 131072  Tmax = 0.200000
# 1:lowestUnsat  2:runTime
327 131072
306 131072
331 131072
299 131072
318 131072
317 131072
331 131072
310 131072
319 131072
291 131072
296 131072
315 131072
319 131072
338 131072
326 131072
304 131072
303 131072
331 131072
284 131072
305 131072
321 131072
293 131072
288 131072
276 131072
326 131072
345 131072
292 131072
304 131072
312 131072
340 131072
302 131072
344 131072
301 131072
323 131072
349 131072
314 131072
293 131072
287 131072
335 131072
339 131072
332 131072
311 131072
343 131072
334 131072
300 131072
292 131072
310 131072
339 131072
291 131072
317 131072
343 131072
316 131072
342 131072
335 131072
332 131072
330 131072
333 131072
