# SA for random K-SAT
# K = 4   N = 128   M = 1216   seed = 3523872410
# alpha = 9.500000   nIter = 512  Tmax = 0.200000
# 1:lowestUnsat  2:runTime
4 512
1 512
2 512
5 512
2 512
4 512
3 512
1 512
6 512
2 512
3 512
4 512
3 512
2 512
2 512
3 512
4 512
1 512
3 512
2 512
0 195
4 512
1 512
1 512
2 512
3 512
2 512
2 512
2 512
3 512
5 512
4 512
3 512
2 512
3 512
2 512
2 512
4 512
4 512
4 512
2 512
1 512
3 512
4 512
3 512
3 512
3 512
2 512
3 512
4 512
3 512
3 512
1 512
2 512
3 512
2 512
2 512
3 512
3 512
2 512
2 512
4 512
2 512
2 512
2 512
0 70
3 512
2 512
0 11
3 512
2 512
4 512
0 152
3 512
3 512
2 512
4 512
5 512
5 512
3 512
4 512
3 512
0 185
3 512
1 512
2 512
3 512
4 512
2 512
3 512
1 512
3 512
0 25
2 512
1 512
2 512
2 512
2 512
2 512
4 512
4 512
1 512
1 512
1 512
3 512
4 512
0 61
2 512
3 512
2 512
3 512
3 512
4 512
3 512
4 512
3 512
1 512
1 512
2 512
2 512
4 512
2 512
3 512
3 512
4 512
4 512
4 512
2 512
2 512
3 512
1 512
1 512
6 512
4 512
4 512
4 512
7 512
3 512
2 512
1 512
3 512
0 100
3 512
4 512
1 512
5 512
5 512
5 512
2 512
7 512
2 512
1 512
3 512
4 512
3 512
3 512
3 512
3 512
2 512
2 512
1 512
3 512
2 512
2 512
1 512
2 512
2 512
2 512
3 512
4 512
2 512
2 512
1 512
3 512
2 512
3 512
2 512
2 512
3 512
0 134
3 512
2 512
5 512
2 512
6 512
4 512
2 512
3 512
1 512
3 512
0 168
3 512
2 512
1 512
4 512
1 512
0 140
1 512
1 512
1 512
4 512
2 512
2 512
3 512
2 512
4 512
1 512
1 512
2 512
5 512
1 512
1 512
3 512
3 512
4 512
2 512
3 512
0 231
0 37
4 512
3 512
2 512
1 512
3 512
2 512
3 512
2 512
3 512
2 512
3 512
3 512
0 69
3 512
2 512
5 512
3 512
4 512
2 512
4 512
1 512
1 512
4 512
3 512
4 512
2 512
1 512
3 512
3 512
1 512
3 512
1 512
2 512
3 512
3 512
3 512
4 512
1 512
6 512
4 512
1 512
1 512
4 512
2 512
4 512
2 512
1 512
3 512
3 512
3 512
1 512
3 512
1 512
2 512
2 512
3 512
1 512
3 512
3 512
1 512
2 512
3 512
2 512
2 512
2 512
2 512
2 512
4 512
2 512
1 512
3 512
1 512
2 512
3 512
2 512
4 512
3 512
3 512
4 512
0 110
4 512
2 512
3 512
1 512
4 512
2 512
0 59
1 512
5 512
3 512
5 512
5 512
1 512
4 512
0 84
4 512
2 512
3 512
2 512
2 512
0 162
2 512
1 512
1 512
3 512
3 512
2 512
2 512
3 512
2 512
3 512
4 512
2 512
2 512
3 512
2 512
1 512
2 512
6 512
6 512
2 512
3 512
0 65
4 512
4 512
4 512
4 512
2 512
2 512
3 512
3 512
3 512
2 512
1 512
2 512
0 112
5 512
1 512
2 512
1 512
3 512
2 512
1 512
2 512
3 512
1 512
3 512
3 512
1 512
3 512
3 512
3 512
5 512
2 512
1 512
2 512
2 512
2 512
4 512
5 512
3 512
4 512
1 512
2 512
4 512
2 512
4 512
5 512
2 512
1 512
1 512
4 512
2 512
1 512
5 512
3 512
5 512
3 512
2 512
3 512
2 512
2 512
2 512
3 512
2 512
2 512
2 512
3 512
0 50
2 512
3 512
4 512
2 512
3 512
2 512
3 512
3 512
2 512
4 512
2 512
4 512
2 512
2 512
2 512
2 512
1 512
1 512
2 512
1 512
3 512
3 512
2 512
1 512
1 512
1 512
1 512
3 512
0 10
1 512
3 512
2 512
1 512
3 512
2 512
1 512
2 512
4 512
2 512
3 512
6 512
4 512
1 512
3 512
2 512
1 512
1 512
1 512
2 512
0 24
2 512
3 512
4 512
1 512
1 512
3 512
1 512
1 512
7 512
1 512
2 512
5 512
2 512
2 512
4 512
1 512
1 512
4 512
3 512
2 512
2 512
7 512
2 512
2 512
3 512
1 512
4 512
1 512
1 512
1 512
1 512
4 512
5 512
4 512
1 512
1 512
1 512
4 512
2 512
3 512
1 512
3 512
1 512
2 512
2 512
2 512
1 512
3 512
3 512
4 512
3 512
3 512
1 512
3 512
4 512
1 512
1 512
2 512
2 512
2 512
2 512
1 512
2 512
4 512
2 512
1 512
5 512
0 280
1 512
2 512
3 512
2 512
3 512
1 512
2 512
1 512
0 26
1 512
4 512
3 512
0 77
4 512
3 512
1 512
1 512
2 512
4 512
2 512
1 512
5 512
1 512
1 512
1 512
2 512
4 512
1 512
4 512
5 512
3 512
1 512
3 512
3 512
1 512
3 512
1 512
3 512
3 512
2 512
5 512
5 512
2 512
0 48
1 512
3 512
3 512
4 512
3 512
1 512
1 512
2 512
3 512
3 512
1 512
2 512
3 512
4 512
1 512
4 512
2 512
4 512
1 512
3 512
5 512
1 512
0 21
3 512
4 512
2 512
3 512
3 512
0 53
4 512
4 512
1 512
3 512
3 512
3 512
3 512
2 512
2 512
4 512
1 512
2 512
2 512
4 512
0 56
3 512
3 512
4 512
1 512
4 512
2 512
2 512
2 512
3 512
1 512
2 512
2 512
3 512
5 512
1 512
3 512
2 512
1 512
6 512
6 512
2 512
3 512
4 512
4 512
3 512
3 512
5 512
1 512
2 512
1 512
3 512
2 512
5 512
2 512
3 512
2 512
3 512
2 512
2 512
7 512
1 512
2 512
3 512
2 512
2 512
2 512
0 84
4 512
2 512
2 512
2 512
1 512
3 512
2 512
0 15
1 512
2 512
3 512
3 512
3 512
3 512
5 512
2 512
2 512
2 512
3 512
1 512
3 512
2 512
3 512
1 512
3 512
4 512
1 512
6 512
3 512
2 512
2 512
3 512
2 512
0 128
1 512
2 512
3 512
5 512
3 512
4 512
1 512
0 52
2 512
3 512
2 512
2 512
2 512
4 512
0 8
2 512
4 512
1 512
4 512
3 512
4 512
1 512
2 512
2 512
4 512
2 512
1 512
1 512
2 512
2 512
5 512
3 512
5 512
3 512
4 512
7 512
