# SA for random K-SAT
# K = 3   N = 8192   M = 28672   seed = 3931581610
# alpha = 3.500000   nIter = 2048  Tmax = 0.200000
# 1:lowestUnsat  2:runTime
0 705
0 688
0 647
0 629
0 692
0 698
0 709
0 705
0 596
0 787
0 764
0 757
0 509
0 676
0 681
0 730
0 719
0 664
0 697
0 493
0 635
0 653
0 686
0 795
0 626
0 558
0 625
0 702
0 748
0 653
0 576
0 572
0 774
0 675
0 653
0 558
0 685
0 563
0 654
0 664
0 698
0 573
0 594
0 717
0 712
0 689
0 741
0 687
0 613
0 711
0 729
0 770
0 708
0 666
0 644
0 657
0 672
0 561
0 763
0 734
0 583
0 659
0 651
0 686
0 806
0 674
0 759
0 650
0 641
0 741
0 777
0 590
0 581
0 560
0 659
0 650
0 618
0 746
0 527
0 709
0 741
0 795
0 665
0 561
0 637
0 703
0 635
0 657
0 582
0 549
0 711
0 759
0 695
0 674
0 608
0 612
0 677
0 560
0 708
0 643
0 676
0 734
0 697
0 609
0 681
0 626
0 636
0 756
0 719
0 650
0 600
0 675
0 706
0 665
0 684
0 738
0 668
0 761
0 762
0 640
0 695
0 698
0 610
0 721
0 705
0 642
0 689
0 720
0 603
0 741
0 610
0 605
0 500
0 699
0 763
0 663
0 599
0 659
0 682
0 702
0 714
0 743
0 655
0 726
0 587
0 563
0 734
0 725
0 581
0 647
0 539
0 662
0 708
0 607
0 585
0 637
0 708
0 717
0 751
0 644
0 680
0 657
0 662
0 559
0 694
0 576
0 743
0 636
0 672
0 682
0 784
0 642
0 619
0 613
0 610
0 703
0 709
0 641
0 653
0 628
0 653
0 643
0 585
0 695
0 680
0 623
0 699
0 713
0 702
0 712
0 705
0 864
0 606
0 623
0 588
0 807
0 740
0 615
0 698
0 768
0 661
0 680
0 585
0 805
0 633
0 891
0 807
0 629
0 577
0 549
0 788
0 637
0 708
0 597
0 639
0 603
0 709
0 596
0 625
0 750
0 620
0 726
0 670
0 585
0 690
0 620
0 618
0 735
0 656
0 614
0 649
0 676
0 661
0 541
0 649
0 685
0 723
0 773
0 700
0 636
0 722
0 688
0 675
0 725
0 589
0 697
0 730
0 664
0 676
0 776
0 633
0 664
0 592
0 704
0 708
0 569
0 542
0 594
0 668
0 745
0 730
0 704
0 572
0 574
0 697
0 621
0 623
0 646
0 656
0 665
0 730
0 679
0 629
0 724
0 651
0 639
0 669
0 659
0 621
0 647
0 841
0 682
0 674
0 693
0 672
0 706
0 779
0 660
0 802
0 626
0 795
0 748
0 644
0 752
0 766
0 740
0 519
0 673
0 743
0 669
0 682
0 761
0 699
0 666
0 650
0 578
0 654
0 604
0 660
0 701
0 721
0 717
0 834
0 654
0 754
0 693
0 637
0 632
0 614
0 634
0 671
0 709
0 663
0 629
0 700
0 602
0 634
0 684
0 674
0 683
0 702
0 671
0 586
0 681
0 620
0 615
0 699
0 598
0 753
0 698
0 649
0 769
0 642
0 682
0 700
0 712
0 705
0 820
0 665
0 731
0 640
0 585
0 733
0 680
0 553
0 624
0 566
0 847
0 644
0 695
0 685
0 553
0 663
0 713
0 717
0 772
0 696
0 716
0 678
0 791
0 707
0 697
0 662
0 682
0 649
0 636
0 740
0 645
0 711
0 644
0 741
0 728
0 746
0 724
0 608
0 674
0 675
0 636
0 632
0 689
0 695
0 574
0 723
0 810
0 687
0 642
0 600
0 630
0 661
0 597
0 750
0 452
0 637
0 850
0 663
0 688
0 524
0 621
0 560
0 693
0 651
0 681
0 675
0 675
0 624
0 688
0 597
0 693
0 733
0 769
0 639
0 667
0 615
0 771
0 639
0 643
0 801
0 639
0 722
0 825
0 731
0 618
0 671
0 574
0 596
0 679
0 682
0 581
0 823
0 691
0 687
0 584
0 675
0 762
0 492
0 619
0 611
0 660
0 673
0 652
0 732
0 733
0 690
0 616
0 660
0 735
0 771
0 728
0 543
0 596
0 711
0 739
0 731
0 631
0 676
0 681
0 642
0 900
0 1034
0 761
0 617
0 521
0 682
0 732
0 707
0 629
0 672
0 588
0 615
0 736
0 784
0 619
0 654
0 737
0 695
