# SA for random K-SAT
# K = 3   N = 32768   M = 131072   seed = 1329349960
# alpha = 4.000000   nIter = 16384  Tmax = 0.200000
# 1:lowestUnsat  2:runTime
1 16384
4 16384
1 16384
4 16384
0 15918
0 13818
2 16384
5 16384
0 9273
1 16384
2 16384
4 16384
2 16384
3 16384
3 16384
2 16384
3 16384
3 16384
2 16384
2 16384
4 16384
1 16384
5 16384
0 10998
5 16384
1 16384
2 16384
3 16384
3 16384
2 16384
3 16384
3 16384
1 16384
4 16384
3 16384
0 13084
1 16384
7 16384
3 16384
2 16384
1 16384
2 16384
3 16384
3 16384
1 16384
4 16384
5 16384
1 16384
1 16384
5 16384
7 16384
2 16384
4 16384
1 16384
3 16384
2 16384
1 16384
0 15154
1 16384
2 16384
2 16384
4 16384
2 16384
2 16384
4 16384
3 16384
2 16384
4 16384
2 16384
2 16384
2 16384
3 16384
0 9197
3 16384
2 16384
6 16384
4 16384
7 16384
3 16384
0 14179
8 16384
1 16384
1 16384
6 16384
1 16384
3 16384
1 16384
3 16384
1 16384
2 16384
1 16384
1 16384
3 16384
5 16384
5 16384
0 14673
2 16384
5 16384
5 16384
0 16231
2 16384
0 14072
1 16384
2 16384
5 16384
2 16384
3 16384
3 16384
4 16384
0 11964
1 16384
1 16384
2 16384
2 16384
4 16384
1 16384
2 16384
3 16384
2 16384
1 16384
0 13315
1 16384
0 12271
2 16384
2 16384
5 16384
4 16384
0 15107
1 16384
3 16384
2 16384
1 16384
2 16384
1 16384
2 16384
0 13846
1 16384
2 16384
1 16384
1 16384
0 15161
2 16384
1 16384
2 16384
1 16384
5 16384
5 16384
2 16384
0 14807
1 16384
1 16384
1 16384
4 16384
1 16384
2 16384
3 16384
2 16384
2 16384
4 16384
0 13585
3 16384
0 12791
1 16384
2 16384
2 16384
4 16384
3 16384
0 14534
3 16384
4 16384
1 16384
2 16384
3 16384
2 16384
6 16384
2 16384
5 16384
2 16384
1 16384
0 11109
3 16384
3 16384
1 16384
1 16384
3 16384
0 11575
