# SA for random K-SAT
# K = 4   N = 1024   M = 9216   seed = 2935540371
# alpha = 9.000000   nIter = 1024  Tmax = 0.200000
# 1:lowestUnsat  2:runTime
0 701
8 1024
4 1024
2 1024
1 1024
5 1024
3 1024
2 1024
4 1024
2 1024
5 1024
1 1024
3 1024
9 1024
5 1024
4 1024
7 1024
1 1024
2 1024
6 1024
3 1024
6 1024
7 1024
6 1024
2 1024
2 1024
0 285
2 1024
8 1024
5 1024
4 1024
5 1024
3 1024
3 1024
6 1024
2 1024
3 1024
5 1024
4 1024
0 938
2 1024
2 1024
4 1024
7 1024
4 1024
6 1024
1 1024
5 1024
4 1024
4 1024
2 1024
2 1024
8 1024
9 1024
3 1024
5 1024
11 1024
3 1024
5 1024
7 1024
2 1024
1 1024
4 1024
2 1024
4 1024
2 1024
6 1024
4 1024
2 1024
4 1024
3 1024
5 1024
3 1024
5 1024
2 1024
0 532
6 1024
3 1024
6 1024
7 1024
3 1024
6 1024
2 1024
7 1024
7 1024
6 1024
2 1024
4 1024
1 1024
2 1024
3 1024
0 301
8 1024
1 1024
2 1024
3 1024
0 284
7 1024
2 1024
3 1024
6 1024
3 1024
4 1024
5 1024
9 1024
2 1024
4 1024
4 1024
3 1024
4 1024
2 1024
2 1024
2 1024
4 1024
5 1024
9 1024
2 1024
6 1024
10 1024
3 1024
7 1024
6 1024
6 1024
5 1024
1 1024
1 1024
6 1024
4 1024
8 1024
3 1024
4 1024
11 1024
2 1024
4 1024
5 1024
5 1024
3 1024
6 1024
0 780
6 1024
0 967
1 1024
7 1024
5 1024
1 1024
1 1024
1 1024
9 1024
2 1024
5 1024
9 1024
3 1024
1 1024
5 1024
2 1024
3 1024
3 1024
10 1024
3 1024
3 1024
3 1024
1 1024
4 1024
6 1024
6 1024
5 1024
5 1024
1 1024
1 1024
5 1024
3 1024
3 1024
6 1024
7 1024
3 1024
6 1024
7 1024
3 1024
5 1024
2 1024
3 1024
4 1024
5 1024
2 1024
5 1024
1 1024
2 1024
2 1024
5 1024
4 1024
5 1024
6 1024
9 1024
4 1024
4 1024
4 1024
2 1024
5 1024
2 1024
3 1024
1 1024
3 1024
4 1024
6 1024
3 1024
5 1024
4 1024
4 1024
5 1024
8 1024
3 1024
3 1024
2 1024
4 1024
2 1024
9 1024
4 1024
4 1024
4 1024
2 1024
6 1024
4 1024
5 1024
4 1024
3 1024
3 1024
5 1024
4 1024
5 1024
5 1024
2 1024
3 1024
5 1024
8 1024
3 1024
7 1024
2 1024
5 1024
0 414
0 497
5 1024
8 1024
3 1024
2 1024
1 1024
6 1024
5 1024
7 1024
3 1024
0 485
3 1024
5 1024
7 1024
6 1024
2 1024
2 1024
4 1024
6 1024
6 1024
7 1024
3 1024
3 1024
4 1024
7 1024
3 1024
0 479
0 841
4 1024
4 1024
8 1024
5 1024
3 1024
3 1024
0 503
2 1024
3 1024
2 1024
2 1024
3 1024
5 1024
5 1024
3 1024
5 1024
2 1024
5 1024
4 1024
1 1024
7 1024
5 1024
6 1024
3 1024
8 1024
9 1024
7 1024
2 1024
4 1024
2 1024
5 1024
4 1024
