# SA for random K-SAT
# K = 3   N = 256   M = 1056   seed = 938180746
# alpha = 4.125000   nIter = 512  Tmax = 0.200000
# 1:lowestUnsat  2:runTime
1 512
2 512
1 512
1 512
2 512
1 512
1 512
2 512
1 512
0 286
1 512
1 512
2 512
2 512
1 512
3 512
1 512
2 512
2 512
3 512
2 512
1 512
1 512
3 512
3 512
2 512
1 512
2 512
2 512
0 126
1 512
1 512
2 512
0 129
3 512
2 512
1 512
2 512
0 129
1 512
1 512
0 34
2 512
5 512
1 512
2 512
1 512
2 512
1 512
1 512
1 512
2 512
2 512
1 512
2 512
2 512
1 512
1 512
2 512
2 512
2 512
1 512
1 512
0 130
1 512
1 512
1 512
0 96
1 512
1 512
1 512
1 512
2 512
1 512
4 512
2 512
2 512
3 512
1 512
1 512
1 512
3 512
2 512
2 512
1 512
1 512
2 512
1 512
2 512
1 512
0 82
2 512
2 512
2 512
1 512
3 512
1 512
2 512
0 25
4 512
3 512
2 512
0 209
1 512
0 62
1 512
1 512
3 512
1 512
2 512
2 512
1 512
2 512
1 512
1 512
1 512
2 512
1 512
2 512
3 512
1 512
2 512
0 234
2 512
3 512
0 119
2 512
2 512
1 512
2 512
0 342
1 512
3 512
3 512
0 143
0 159
0 426
3 512
2 512
3 512
2 512
4 512
0 221
1 512
2 512
0 115
1 512
3 512
1 512
1 512
2 512
1 512
0 263
0 55
2 512
0 338
1 512
0 37
0 74
0 42
3 512
1 512
2 512
2 512
1 512
1 512
1 512
1 512
1 512
2 512
2 512
1 512
2 512
1 512
2 512
0 193
7 512
3 512
1 512
0 245
1 512
2 512
0 34
2 512
0 158
1 512
1 512
1 512
4 512
1 512
1 512
0 254
3 512
1 512
1 512
1 512
0 46
0 31
2 512
2 512
2 512
4 512
3 512
3 512
0 180
2 512
2 512
1 512
2 512
1 512
2 512
1 512
0 85
1 512
1 512
1 512
0 215
1 512
2 512
1 512
1 512
2 512
0 35
2 512
3 512
3 512
0 40
1 512
1 512
0 74
2 512
1 512
1 512
1 512
3 512
2 512
2 512
1 512
1 512
0 84
2 512
2 512
1 512
3 512
2 512
1 512
0 431
0 70
0 490
1 512
1 512
1 512
2 512
0 329
1 512
1 512
0 29
3 512
0 199
2 512
2 512
1 512
2 512
0 204
1 512
1 512
3 512
0 30
0 103
1 512
1 512
0 62
1 512
2 512
2 512
2 512
0 91
2 512
2 512
3 512
1 512
4 512
0 460
2 512
1 512
2 512
1 512
1 512
0 465
1 512
0 105
1 512
2 512
4 512
0 420
1 512
1 512
2 512
1 512
0 49
0 62
2 512
2 512
0 76
2 512
2 512
1 512
0 139
4 512
1 512
0 382
1 512
2 512
1 512
2 512
1 512
0 87
1 512
0 45
0 172
1 512
2 512
0 73
2 512
1 512
0 120
3 512
2 512
2 512
1 512
3 512
0 508
0 32
2 512
4 512
1 512
0 414
2 512
3 512
2 512
0 114
5 512
1 512
0 332
1 512
1 512
1 512
1 512
