# SA for random K-SAT
# K = 4   N = 16384   M = 151552   seed = 1569585674
# alpha = 9.250000   nIter = 131072  Tmax = 0.200000
# 1:lowestUnsat  2:runTime
1 131072
1 131072
2 131072
4 131072
2 131072
3 131072
0 102647
0 50792
3 131072
1 131072
1 131072
1 131072
2 131072
0 125355
5 131072
1 131072
0 65838
5 131072
2 131072
2 131072
1 131072
0 71267
0 77130
1 131072
1 131072
0 107669
0 69387
3 131072
0 69756
1 131072
0 69287
3 131072
2 131072
2 131072
2 131072
1 131072
1 131072
1 131072
0 66882
1 131072
2 131072
8 131072
4 131072
3 131072
6 131072
0 64132
1 131072
2 131072
2 131072
4 131072
1 131072
2 131072
1 131072
2 131072
2 131072
2 131072
5 131072
2 131072
3 131072
4 131072
2 131072
3 131072
0 64182
3 131072
2 131072
2 131072
0 116717
5 131072
0 50536
2 131072
0 85504
0 59964
2 131072
1 131072
10 131072
2 131072
2 131072
4 131072
1 131072
8 131072
0 65435
1 131072
1 131072
1 131072
4 131072
1 131072
1 131072
3 131072
5 131072
3 131072
1 131072
0 90115
1 131072
1 131072
5 131072
1 131072
0 102763
0 92235
0 68285
7 131072
4 131072
2 131072
1 131072
0 90037
4 131072
0 93591
3 131072
0 107377
0 66419
6 131072
6 131072
2 131072
4 131072
3 131072
1 131072
3 131072
7 131072
0 71330
0 68365
2 131072
2 131072
2 131072
1 131072
2 131072
3 131072
0 117660
0 65082
0 59664
1 131072
2 131072
6 131072
1 131072
0 131054
0 79036
1 131072
3 131072
3 131072
1 131072
3 131072
0 76486
5 131072
0 63910
1 131072
0 77924
4 131072
2 131072
1 131072
0 57757
4 131072
3 131072
0 69050
5 131072
4 131072
1 131072
2 131072
3 131072
7 131072
0 81657
2 131072
4 131072
0 96360
3 131072
1 131072
1 131072
1 131072
1 131072
3 131072
4 131072
0 106109
1 131072
0 62867
0 53265
1 131072
0 55244
3 131072
0 81151
3 131072
0 52524
9 131072
2 131072
0 63081
1 131072
2 131072
0 74519
2 131072
0 57937
2 131072
2 131072
2 131072
2 131072
1 131072
1 131072
0 127109
3 131072
0 99564
3 131072
0 124213
0 62404
1 131072
4 131072
2 131072
3 131072
2 131072
0 62342
1 131072
0 113363
3 131072
3 131072
1 131072
3 131072
5 131072
2 131072
4 131072
1 131072
0 108827
2 131072
0 102380
2 131072
2 131072
1 131072
1 131072
3 131072
0 67266
1 131072
6 131072
0 77265
0 98293
2 131072
0 126447
1 131072
1 131072
0 56615
4 131072
0 72165
0 59783
0 94200
0 46957
5 131072
1 131072
0 46689
2 131072
0 123401
3 131072
3 131072
10 131072
9 131072
2 131072
1 131072
2 131072
5 131072
1 131072
1 131072
1 131072
3 131072
0 82036
0 91953
0 53700
1 131072
0 61573
0 52592
1 131072
0 46668
3 131072
4 131072
1 131072
6 131072
0 129398
1 131072
3 131072
1 131072
4 131072
1 131072
1 131072
2 131072
1 131072
0 88940
1 131072
3 131072
1 131072
1 131072
1 131072
1 131072
2 131072
0 58107
2 131072
2 131072
1 131072
1 131072
4 131072
3 131072
1 131072
14 131072
0 111660
2 131072
1 131072
3 131072
0 55011
0 57149
1 131072
1 131072
1 131072
4 131072
1 131072
2 131072
5 131072
0 62572
1 131072
