# SA for random K-SAT
# K = 4   N = 2048   M = 20480   seed = 676970071
# alpha = 10.000000   nIter = 512  Tmax = 0.200000
# 1:lowestUnsat  2:runTime
41 512
49 512
42 512
43 512
43 512
37 512
54 512
45 512
48 512
46 512
48 512
49 512
42 512
48 512
61 512
39 512
46 512
40 512
44 512
40 512
35 512
59 512
45 512
44 512
39 512
44 512
53 512
41 512
44 512
47 512
45 512
45 512
35 512
41 512
49 512
34 512
49 512
41 512
42 512
42 512
42 512
39 512
39 512
45 512
45 512
40 512
41 512
51 512
47 512
47 512
40 512
48 512
48 512
52 512
44 512
55 512
50 512
39 512
41 512
50 512
45 512
45 512
40 512
47 512
38 512
56 512
41 512
37 512
31 512
57 512
40 512
46 512
48 512
46 512
50 512
45 512
36 512
43 512
44 512
46 512
36 512
49 512
41 512
41 512
42 512
52 512
49 512
57 512
49 512
42 512
49 512
41 512
34 512
40 512
50 512
49 512
34 512
44 512
38 512
44 512
48 512
37 512
49 512
52 512
41 512
43 512
47 512
36 512
35 512
42 512
49 512
46 512
49 512
38 512
34 512
49 512
46 512
46 512
40 512
34 512
43 512
41 512
46 512
54 512
47 512
36 512
43 512
39 512
39 512
45 512
53 512
39 512
41 512
41 512
41 512
53 512
34 512
38 512
30 512
49 512
50 512
38 512
47 512
47 512
41 512
55 512
51 512
39 512
35 512
43 512
46 512
34 512
43 512
41 512
44 512
50 512
38 512
42 512
40 512
49 512
45 512
40 512
51 512
51 512
46 512
48 512
47 512
50 512
45 512
30 512
34 512
43 512
42 512
45 512
39 512
34 512
40 512
39 512
46 512
42 512
50 512
44 512
46 512
36 512
54 512
48 512
39 512
48 512
44 512
44 512
36 512
53 512
45 512
37 512
55 512
46 512
58 512
40 512
43 512
45 512
34 512
37 512
49 512
45 512
45 512
48 512
36 512
45 512
51 512
55 512
54 512
35 512
55 512
44 512
40 512
40 512
44 512
51 512
45 512
45 512
55 512
44 512
46 512
41 512
46 512
58 512
50 512
42 512
48 512
40 512
34 512
37 512
54 512
35 512
51 512
53 512
43 512
49 512
43 512
39 512
41 512
41 512
51 512
42 512
46 512
50 512
46 512
42 512
55 512
37 512
55 512
40 512
41 512
47 512
36 512
51 512
40 512
46 512
39 512
42 512
41 512
36 512
48 512
43 512
41 512
47 512
48 512
50 512
48 512
49 512
41 512
59 512
40 512
45 512
46 512
45 512
46 512
38 512
43 512
47 512
38 512
44 512
43 512
52 512
44 512
41 512
45 512
49 512
40 512
50 512
47 512
42 512
40 512
52 512
42 512
45 512
55 512
51 512
43 512
43 512
47 512
42 512
38 512
48 512
45 512
37 512
41 512
44 512
41 512
42 512
54 512
39 512
38 512
47 512
44 512
46 512
39 512
51 512
35 512
36 512
43 512
46 512
38 512
48 512
48 512
46 512
50 512
44 512
41 512
50 512
42 512
44 512
46 512
29 512
51 512
62 512
41 512
44 512
37 512
36 512
41 512
49 512
45 512
47 512
53 512
39 512
36 512
41 512
51 512
37 512
48 512
32 512
41 512
49 512
54 512
37 512
45 512
39 512
43 512
49 512
51 512
46 512
43 512
46 512
39 512
35 512
44 512
38 512
34 512
48 512
33 512
44 512
41 512
42 512
36 512
47 512
43 512
35 512
44 512
44 512
52 512
45 512
51 512
55 512
43 512
43 512
44 512
48 512
43 512
46 512
40 512
46 512
45 512
39 512
39 512
39 512
50 512
50 512
47 512
46 512
40 512
35 512
52 512
50 512
46 512
40 512
43 512
42 512
48 512
42 512
46 512
53 512
51 512
43 512
47 512
44 512
49 512
33 512
44 512
33 512
46 512
