# SA for random K-SAT
# K = 3   N = 1024   M = 4032   seed = 905295886
# alpha = 3.937500   nIter = 512  Tmax = 0.200000
# 1:lowestUnsat  2:runTime
4 512
1 512
0 250
1 512
0 152
5 512
0 130
1 512
0 314
3 512
0 204
2 512
0 135
2 512
2 512
2 512
0 336
1 512
2 512
1 512
1 512
2 512
0 288
0 165
1 512
1 512
0 370
1 512
1 512
3 512
2 512
1 512
1 512
1 512
0 261
0 483
3 512
1 512
1 512
0 162
4 512
0 96
2 512
2 512
0 142
1 512
3 512
3 512
1 512
2 512
2 512
0 226
0 229
3 512
3 512
0 207
1 512
1 512
2 512
0 363
1 512
3 512
2 512
2 512
0 397
0 447
1 512
1 512
1 512
2 512
3 512
2 512
0 442
1 512
0 407
3 512
1 512
1 512
2 512
3 512
1 512
2 512
0 305
2 512
1 512
3 512
0 378
1 512
0 343
5 512
0 327
0 368
1 512
3 512
1 512
0 418
1 512
1 512
2 512
1 512
2 512
0 366
3 512
0 470
0 171
2 512
0 476
1 512
1 512
3 512
5 512
1 512
0 101
2 512
0 188
1 512
1 512
0 351
2 512
1 512
0 280
0 275
2 512
1 512
1 512
1 512
0 391
4 512
3 512
0 172
1 512
1 512
0 215
2 512
1 512
0 200
3 512
0 318
4 512
3 512
0 284
2 512
2 512
0 194
2 512
0 423
3 512
3 512
1 512
0 284
1 512
0 140
2 512
0 282
3 512
2 512
0 460
1 512
1 512
1 512
6 512
1 512
2 512
0 272
4 512
2 512
1 512
4 512
1 512
1 512
2 512
1 512
0 171
0 173
3 512
5 512
1 512
0 178
0 205
0 113
2 512
0 297
2 512
0 118
1 512
2 512
2 512
0 347
1 512
1 512
2 512
0 187
5 512
0 157
0 360
0 147
2 512
1 512
3 512
1 512
2 512
0 247
0 332
3 512
3 512
4 512
2 512
0 134
6 512
1 512
0 213
3 512
1 512
3 512
0 90
0 281
2 512
0 246
3 512
3 512
1 512
4 512
1 512
1 512
3 512
2 512
0 102
1 512
0 379
2 512
1 512
2 512
2 512
1 512
1 512
1 512
0 271
1 512
3 512
3 512
0 456
1 512
0 138
2 512
0 182
2 512
1 512
1 512
0 139
0 362
3 512
0 199
2 512
1 512
1 512
1 512
0 223
7 512
0 103
1 512
2 512
0 299
0 296
2 512
2 512
0 165
1 512
0 460
1 512
1 512
2 512
1 512
2 512
2 512
1 512
2 512
0 243
2 512
0 323
1 512
0 143
0 252
1 512
1 512
1 512
0 386
0 246
0 444
0 270
1 512
3 512
0 126
1 512
1 512
3 512
4 512
1 512
0 410
0 328
0 239
0 185
1 512
1 512
0 469
3 512
1 512
1 512
2 512
2 512
0 230
2 512
0 166
0 399
0 306
4 512
1 512
0 211
1 512
1 512
0 250
2 512
3 512
1 512
0 103
0 321
1 512
0 227
1 512
0 189
2 512
0 350
1 512
2 512
1 512
2 512
3 512
1 512
1 512
1 512
1 512
0 232
1 512
0 248
2 512
2 512
2 512
1 512
0 336
0 126
0 231
1 512
0 366
1 512
0 267
2 512
2 512
2 512
3 512
2 512
5 512
1 512
3 512
1 512
2 512
1 512
0 258
1 512
1 512
2 512
0 200
3 512
1 512
1 512
1 512
1 512
0 296
2 512
1 512
2 512
1 512
3 512
4 512
4 512
1 512
0 365
0 313
0 257
2 512
1 512
0 429
2 512
2 512
0 274
1 512
3 512
0 167
1 512
3 512
1 512
3 512
1 512
2 512
3 512
0 273
1 512
0 404
0 159
1 512
0 195
0 90
1 512
0 200
3 512
2 512
3 512
3 512
3 512
3 512
1 512
2 512
3 512
1 512
1 512
3 512
0 279
1 512
0 455
2 512
3 512
1 512
0 201
0 153
3 512
1 512
2 512
2 512
0 166
1 512
4 512
1 512
5 512
2 512
3 512
1 512
2 512
1 512
3 512
1 512
0 169
0 461
0 218
2 512
2 512
1 512
0 217
1 512
1 512
0 344
1 512
2 512
0 497
1 512
2 512
1 512
1 512
1 512
2 512
0 351
1 512
1 512
0 477
3 512
1 512
2 512
1 512
1 512
2 512
0 159
1 512
1 512
0 240
0 241
1 512
1 512
2 512
4 512
2 512
2 512
3 512
1 512
3 512
3 512
3 512
2 512
0 198
2 512
1 512
1 512
3 512
2 512
1 512
2 512
0 284
0 318
3 512
1 512
3 512
0 297
0 214
0 400
0 177
2 512
1 512
2 512
0 414
2 512
0 424
1 512
0 366
2 512
1 512
2 512
4 512
1 512
1 512
1 512
1 512
1 512
3 512
1 512
2 512
1 512
1 512
1 512
1 512
4 512
0 462
0 307
2 512
0 375
0 332
0 82
3 512
1 512
3 512
0 161
3 512
1 512
0 259
2 512
2 512
1 512
3 512
0 383
0 427
0 211
1 512
0 144
2 512
2 512
1 512
6 512
2 512
0 201
1 512
4 512
5 512
1 512
1 512
2 512
1 512
2 512
1 512
2 512
0 231
2 512
2 512
2 512
1 512
0 289
0 171
1 512
1 512
1 512
0 180
2 512
0 313
0 237
1 512
2 512
0 454
2 512
0 321
0 161
1 512
0 226
3 512
3 512
1 512
0 263
2 512
1 512
1 512
0 127
3 512
1 512
0 313
3 512
1 512
0 275
3 512
1 512
0 349
1 512
1 512
3 512
2 512
0 265
0 426
1 512
3 512
2 512
0 165
3 512
1 512
4 512
1 512
0 181
1 512
5 512
1 512
2 512
0 109
1 512
4 512
2 512
0 128
0 176
1 512
2 512
2 512
1 512
1 512
0 312
1 512
1 512
1 512
2 512
2 512
2 512
0 358
0 425
1 512
0 199
2 512
1 512
1 512
2 512
0 94
2 512
3 512
2 512
0 300
2 512
0 422
1 512
1 512
1 512
0 136
0 498
3 512
0 372
0 194
0 160
1 512
0 80
3 512
2 512
0 254
1 512
0 304
3 512
1 512
0 485
0 466
1 512
0 166
0 149
0 146
3 512
5 512
0 413
0 468
1 512
4 512
3 512
3 512
1 512
2 512
1 512
0 335
0 169
0 107
0 370
3 512
3 512
1 512
3 512
0 231
1 512
3 512
2 512
0 151
2 512
1 512
2 512
2 512
3 512
0 188
2 512
1 512
0 288
2 512
4 512
3 512
0 93
1 512
2 512
1 512
0 296
1 512
