#  N   alpha   nsampl   av(log(t))   std(log(t))
102400	3.8	10000	7.704845639437466	0.003680548798958401
102400	3.9	10000	9.205761297315327	0.004077570676694741
102400	3.95	10000	10.360297746377476	0.004297437390638724
102400	3.98	4706	11.334924833953014	0.0066987423851718715
102400	4.0	1788	12.163066195080015	0.011564152647771584
204800	3.8	10000	7.900623941900648	0.0034209147134872057
204800	3.9	9940	9.405479713472719	0.0036510836268669393
204800	3.95	4637	10.572226643147049	0.005615165574612193
204800	3.98	1743	11.516102109863924	0.009328938453550895
204800	4.0	709	12.316886037224634	0.015274144480197144
409600	3.8	10000	8.092233523186573	0.003206961932480446
409600	3.9	5743	9.60924015702908	0.004597919982915096
409600	3.95	1744	10.755092412384403	0.008344726607320573
409600	3.98	661	11.691608881511343	0.01309082594975605
409600	4.0	41	12.411672051141046	0.03589987621830738
819200	3.8	2853	8.257435567561949	0.005575862424325161
819200	3.9	587	9.768617818977347	0.012712637889816558
819200	3.95	170	10.887507642923321	0.02191345535410918
819200	3.98	48	11.731927494024697	0.03500822275465326
819200	4.0	4	12.2623395053434	0.05732222360715018
