#  N   alpha   maxiter  av(e)   err(e)  P(sol)  err(Psol)  av(niter)   std(niter)  av(runtime)  str(runtime)  nsamples
1024	397.00	50000	0.000	0.000	1.000	0.000	83.541	1.069	0.021	0.000	6999
1024	404.00	50000	0.007	0.005	1.000	0.000	221.696	11.512	0.055	0.003	6999
1024	410.00	50000	0.125	0.021	0.994	0.001	1080.304	54.552	0.268	0.014	6999
1024	412.00	50000	0.300	0.032	0.986	0.001	1921.430	81.447	0.477	0.020	6999
1024	414.00	50000	0.767	0.053	0.965	0.002	3588.736	121.247	0.893	0.030	6999
1024	416.00	50000	1.649	0.074	0.924	0.003	6320.152	166.426	1.575	0.042	6999
1024	418.00	50000	3.258	0.103	0.854	0.004	10551.228	211.991	2.635	0.053	6999
1024	419.00	50000	4.167	0.112	0.808	0.005	13115.986	232.881	3.252	0.058	6999
1024	420.00	50000	5.312	0.124	0.758	0.005	15792.069	248.339	3.952	0.062	6999
1024	421.00	50000	6.780	0.135	0.692	0.006	19132.117	262.517	4.756	0.065	6999
1024	422.00	50000	8.245	0.144	0.631	0.006	22341.564	269.879	5.605	0.068	6999
1024	426.00	50000	15.008	0.159	0.356	0.006	34838.967	254.926	8.786	0.064	6999
1024	397.00	16384	0.000	0.000	1.000	0.000	83.541	1.069	0.021	0.000	6999
1024	404.00	16384	0.006	0.005	1.000	0.000	212.090	6.481	0.052	0.002	6999
1024	410.00	16384	0.261	0.031	0.988	0.001	816.744	26.366	0.201	0.007	6999
1024	412.00	16384	0.564	0.044	0.973	0.002	1302.312	36.754	0.321	0.009	6999
1024	414.00	16384	1.189	0.062	0.942	0.003	2104.279	49.538	0.519	0.012	6999
1024	416.00	16384	2.414	0.088	0.885	0.004	3282.036	63.685	0.811	0.016	6999
1024	418.00	16384	4.324	0.113	0.797	0.005	4976.463	76.261	1.232	0.019	6999
1024	420.00	16384	6.584	0.131	0.690	0.006	6789.155	84.009	1.685	0.021	6999
1024	422.00	16384	9.818	0.149	0.554	0.006	8918.091	86.427	2.219	0.022	6999
1024	426.00	16384	16.184	0.156	0.300	0.005	12509.344	75.315	3.130	0.019	6999
1024	397.00	1024000	0.000	0.000	1.000	0.000	83.541	1.069	0.021	0.000	6999
1024	404.00	1024000	0.000	0.000	1.000	0.000	229.593	17.343	0.057	0.004	6999
1024	410.00	1024000	0.034	0.012	0.999	0.000	3275.850	531.139	0.812	0.132	6999
1024	412.00	1024000	0.099	0.020	0.996	0.001	7114.127	823.358	1.771	0.205	6999
