#  N   alpha   maxiter  av(e)   err(e)  P(sol)  err(Psol)  av(niter)   std(niter)  av(runtime)  str(runtime)  nsamples
2048	964.00	2048000	0.065	0.047	0.999	0.001	55135.370	3071.225	47.974	2.679	1895
2048	968.00	2048000	0.518	0.173	0.989	0.004	122552.778	9368.583	106.883	8.165	890
2048	972.00	2048000	2.787	0.668	0.945	0.012	312487.725	27664.110	273.588	24.272	348
2048	976.00	2048000	8.246	1.586	0.858	0.026	578306.520	53088.727	503.926	46.262	183
2048	980.00	2048000	17.755	2.772	0.643	0.048	1045270.472	85699.138	917.013	75.294	98
2048	990.00	2048000	51.925	3.802	0.113	0.044	1902474.128	63172.332	1670.444	55.766	53
4096	940.00	50000	0.000	0.000	1.000	0.000	2673.288	25.608	5.594	0.053	6999
4096	950.00	50000	0.252	0.062	0.997	0.001	6721.054	84.739	14.126	0.178	6094
4096	955.00	50000	1.997	0.216	0.972	0.003	11451.844	182.994	24.046	0.386	3639
4096	958.00	50000	5.604	0.271	0.924	0.003	16230.804	179.882	35.225	0.392	6207
4096	960.00	50000	11.141	0.645	0.849	0.008	20772.336	356.561	43.627	0.753	2081
4096	962.00	50000	17.454	0.563	0.769	0.007	25160.187	274.428	54.723	0.601	3995
4096	964.00	50000	27.465	1.103	0.650	0.012	30126.853	466.223	63.523	0.992	1472
4096	968.00	50000	46.626	1.393	0.423	0.014	38583.508	456.964	81.500	0.979	1175
4096	972.00	50000	61.406	1.406	0.226	0.013	44653.924	362.515	94.778	0.785	1023
4096	976.00	50000	78.318	1.323	0.079	0.009	48161.368	236.416	103.019	0.525	942
4096	980.00	50000	90.928	1.208	0.024	0.005	49447.429	135.809	106.462	0.316	911
4096	990.00	50000	109.958	1.005	0.000	0.000	50000.000	0.000	109.325	0.082	888
4096	948.00	65536	0.082	0.033	0.999	0.000	5521.777	67.440	11.895	0.145	6999
4096	956.00	65536	1.895	0.178	0.974	0.002	13683.779	194.532	29.712	0.424	5249
4096	960.00	65536	7.133	0.437	0.911	0.005	22266.120	341.702	48.368	0.746	3231
4096	962.00	65536	12.159	0.606	0.839	0.007	27892.376	431.874	60.621	0.944	2574
4096	964.00	65536	19.856	0.824	0.738	0.010	34098.407	508.243	74.160	1.114	2107
4096	966.00	65536	28.368	1.009	0.637	0.011	39885.423	557.178	87.009	1.226	1797
4096	968.00	65536	40.569	1.212	0.494	0.013	46841.078	570.886	102.280	1.261	1529
4096	970.00	65536	49.896	1.278	0.375	0.013	52014.571	552.274	113.767	1.223	1372
4096	974.00	65536	70.740	1.264	0.157	0.011	60746.660	379.799	133.790	0.858	1167
4096	980.00	65536	91.152	1.097	0.025	0.005	64848.891	149.368	144.521	0.367	1081
4096	940.00	4096000	0.000	0.000	1.000	0.000	2673.288	25.608	5.595	0.053	6999
4096	950.00	4096000	0.000	0.000	1.000	0.000	6778.937	92.219	14.244	0.194	6039
4096	955.00	4096000	0.000	0.000	1.000	0.000	12538.642	300.578	26.318	0.631	3327
4096	960.00	4096000	0.000	0.000	1.000	0.000	30219.400	1612.547	63.393	3.396	1455
4096	964.00	4096000	0.000	0.000	1.000	0.000	66510.923	4877.213	139.225	10.162	628
4096	968.00	4096000	0.000	0.000	1.000	0.000	154542.538	18699.657	324.053	39.190	257
